STT,SID,DATE,TIME,C0,C1,C2,C3
1,'001,2025-02-27,15:01:00,0,26.37,289.2,67.87
2,'001,2025-02-27,14:50:00,0,26.06,293.3,69.09
3,'001,2025-02-27,14:41:00,0,11.4,132.83,30.28
4,'001,2025-02-25,14:43:00,0,25.64,283.45,67.87
5,'001,2025-02-25,14:32:00,0,25.64,288.92,67.6
6,'001,2025-02-25,14:23:00,0,11.4,126.81,28.8
7,'001,2025-02-25,09:34:00,0,0.52,1.09,0.27
8,'001,2025-02-24,12:32:00,0,28.33,306.16,73.41
9,'001,2025-02-24,12:22:00,0,27.45,306.71,73.55
10,'001,2025-02-24,12:12:00,0,28.33,309.03,73.95
11,'001,2025-02-24,12:02:00,0,27.82,310.95,74.5
12,'001,2025-02-24,11:52:00,0,29.89,326.27,78.55
13,'001,2025-02-24,11:43:00,0,0.1,0,0
14,'001,2025-02-24,11:37:00,0,0,0,0
15,'001,2025-02-24,11:27:00,0,0,0,0.14
16,'001,2025-02-24,11:07:00,0,0,0,0
17,'001,2025-02-24,10:47:00,0,0,0,0
18,'001,2025-02-24,10:37:00,0,0,0,0
19,'001,2025-02-24,10:27:00,0,0.26,0,0
20,'001,2025-02-24,10:17:00,0,0,0,1.35
21,'001,2025-02-24,10:07:00,0,0,0,0
22,'001,2025-02-24,09:58:00,0,1.55,3.42,0.68
23,'001,2025-02-24,09:57:00,0,0.05,0,0
24,'001,2025-02-24,09:42:00,0,0.05,0,0
25,'001,2025-02-24,09:17:00,0,0,0,1.35
26,'001,2025-01-14,10:43:00,0,4.3,9.03,10.14
27,'001,2025-01-14,10:32:00,0,3.57,9.85,10.41
28,'001,2025-01-14,10:22:00,0,3.52,9.58,10.14
29,'001,2025-01-14,10:12:00,0,3.57,9.85,10.14
30,'001,2025-01-14,10:03:00,0,3.57,9.71,10.28
31,'001,2025-01-14,09:42:00,0,3.47,8.76,9.87
32,'001,2025-01-14,09:32:00,0,3.47,9.44,9.87
33,'001,2025-01-14,09:22:00,0,3.47,9.3,9.87
34,'001,2025-01-14,09:13:00,0,3.42,9.17,9.87
35,'001,2025-01-14,09:02:00,0,3.63,7.93,9.87
36,'001,2025-01-14,08:53:00,0,1.81,4.92,5.41
37,'001,2024-12-01,16:34:00,0,7.67,41.72,1.62
38,'001,2024-12-01,16:23:00,0,7.46,35.98,0.95
39,'001,2024-12-01,16:13:00,0,7.67,24.21,0.95
40,'001,2024-12-01,16:03:00,0,7.61,3.28,0.95
41,'001,2024-12-01,15:54:00,0,7.41,5.2,0.41
42,'001,2024-12-01,15:33:00,0,7.61,5.47,1.49
43,'001,2024-12-01,15:23:00,0,8.03,13.13,1.76
44,'001,2024-12-01,15:13:00,0,7.56,7.11,0.41
45,'001,2024-12-01,15:04:00,0,7.72,13,1.35
46,'001,2024-12-01,14:53:00,0,7.51,6.02,0.95
47,'001,2024-12-01,14:44:00,0,3.21,5.06,0.68
48,'001,2024-12-01,14:29:00,0,7.41,31.6,1.89
49,'001,2024-12-01,14:09:00,0,7.41,15.32,2.7
50,'001,2024-12-01,13:59:00,0,7.61,67.31,4.6
51,'001,2024-12-01,13:49:00,0,7.41,12.45,1.89
52,'001,2024-12-01,13:39:00,0,7.36,24.62,1.76
53,'001,2024-12-01,13:29:00,0,7.41,30.78,1.62
54,'001,2024-12-01,13:19:00,0,7.51,21.61,1.22
55,'001,2024-12-01,13:09:00,0,7.51,36.12,1.22
56,'001,2024-12-01,12:59:00,0,7.36,12.72,0.81
57,'001,2024-12-01,12:48:00,0,7.51,65.25,3.92
58,'001,2024-12-01,12:39:00,0,7.41,33.52,1.35
59,'001,2024-12-01,12:29:00,0,7.56,38.99,2.03
60,'001,2024-12-01,12:19:00,0,7.51,16.96,0.81
61,'001,2024-12-01,11:58:00,0,7.56,14.23,2.57
62,'001,2024-12-01,11:49:00,0,7.46,24.49,1.08
63,'001,2024-12-01,11:29:00,0,10.26,65.53,1.08
